sample	a3ss_NumGenes	a5ss_NumGenes	se_NumGenes	ri_NumGenes
TCGA.02.0014	3404	1345	4495	646
TCGA.02.0021	3176	1149	3975	427
TCGA.02.0028	3315	1296	4266	496
TCGA.02.0033	3198	1152	3751	470
TCGA.02.0037	3284	1128	3918	498
TCGA.02.0080	3139	1096	4058	452
TCGA.02.0114	3238	1072	3651	410
TCGA.02.0432	3258	1083	3613	459
TCGA.06.0125	3527	1389	4406	563
TCGA.06.0140	3273	1140	4109	463
TCGA.06.0182	3508	1618	5151	608
TCGA.06.0201	3500	1379	4538	481
TCGA.06.0402	3424	1339	4614	484
TCGA.06.0409	3253	1077	3680	636
TCGA.06.0413	3216	1137	3771	467
TCGA.06.0747	3368	1376	4654	538
TCGA.06.0749	3308	1215	3968	523
TCGA.08.0344	3205	1131	3902	493
TCGA.12.0656	3066	1149	3827	439
TCGA.12.0657	4387	2043	6584	756
